VFlowTech,Deal from Newsletter, $21m,Growth,Granite Asia,"['Antares Ventures', 'EDBI', 'Entrepreneur First', 'MOL PLUS']",https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
⚡Realta Fusion,Deal from Newsletter, $36m,Series A,Future Ventures,"['Avila VC', 'GSBackers', 'Khosla Ventures', 'Mayfield']",https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
Solestial,Deal from Newsletter,17m,Series A,AE Ventures,"['Airbus Ventures', 'Crosscut Ventures', 'General Purpose Venture Capital (GPVC)', 'Industrious Ventures']",https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
Rekosistem,Deal from Newsletter,7m,Series A,K3 Ventures,"['Saratoga Investama Sedaya', 'AppWorks', 'Bali Investment Club (BIC)', 'Orvel Ventures']",https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
Veritree,Deal from Newsletter,7m,Series A,Pender Ventures,"['Diagram Ventures', 'Garage Capital', 'Northside Ventures']",https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
Verdi,Deal from Newsletter,7m,Seed,SVG Ventures,"['Ponderosa Ventures', 'Elemental Impact', 'GenomeBC', 'One Small Planet']",https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
Riverse,Deal from Newsletter,6m,Seed,Alven,"['K Fund', 'Makesense', 'Serena Capital', 'Speedinvest']",https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
Bovotica,Deal from Newsletter, $3m,Seed,Not Specified,Not Specified,https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
Zendo Energy,Deal from Newsletter,2m,Pre-seed,Fly Ventures,"['Octopus Ventures', 'Pact VC']",https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
Voltra,Deal from Newsletter, $2m ,Not Specified,Not Specified,Not Specified,https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
Eku Energy,Deal from Newsletter, $60m,PF Debt,NatWest,['Sumitomo Mitsui Banking Corporation'],https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
Foodiq,Deal from Newsletter, $11m,Corporate Strategic,Not Specified,Not Specified,https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
Calefa,Deal from Newsletter,8m,PE Expansion,Evli Private Capital,Not Specified,https://www.ctvc.co/ira-cuts-in-the-budget-battle-246/,CTVC
