funding_date,company_name,amount_raised_usd,funding_stage,investors,climate_tech_vertical,headquarters_country,headquarters_city,short_description,company_website,source_url
2024-08-10,AtmoLabs,1000000,Seed,Khosla Ventures,Energy,Germany,Berlin,Developing novel seed technology for the Carbon Tech sector.,https://www.atmolabs.com,https://techcrunch.com/2025/01/15/atmolabs-raises-1m/
2024-10-13,AtmoCycle,2000000,Seed,Khosla Ventures|Y Combinator|Breakthrough Energy Ventures,Climate Adaptation,UK,London,Developing novel seed technology for the Industrial Decarbonization sector.,https://www.atmocycle.com,https://techcrunch.com/2025/01/15/atmocycle-raises-2m/
2025-06-23,AquaVolt,380000,Grant,Khosla Ventures,Climate Adaptation,Germany,Berlin,Developing novel grant technology for the Mobility sector.,https://www.aquavolt.com,https://techcrunch.com/2025/01/15/aquavolt-raises-0m/
2024-12-30,TerraVolt,3000000,Seed,Breakthrough Energy Ventures|Y Combinator|Lowercarbon Capital,Industrial Decarbonization,USA,New York,Developing novel seed technology for the Mobility sector.,https://www.terravolt.com,https://techcrunch.com/2025/01/15/terravolt-raises-3m/
2025-04-17,AtmoLabs,206000,Grant,a16z|Breakthrough Energy Ventures,Food & Ag,Germany,Berlin,Developing novel grant technology for the Food & Ag sector.,https://www.atmolabs.com,https://techcrunch.com/2025/01/15/atmolabs-raises-0m/
2025-01-25,TerraScale,3000000,Seed,Lowercarbon Capital|Congruent Ventures,Industrial Decarbonization,UK,London,Developing novel seed technology for the Food & Ag sector.,https://www.terrascale.com,https://techcrunch.com/2025/01/15/terrascale-raises-3m/
2025-07-01,AuraGen,97000000,Series B,Breakthrough Energy Ventures,Food & Ag,USA,New York,Developing novel series b technology for the Mobility sector.,https://www.auragen.com,https://techcrunch.com/2025/01/15/auragen-raises-97m/
2025-07-01,MycoVolt,85000000,Series B,Y Combinator|Congruent Ventures|Breakthrough Energy Ventures,Energy,UK,London,Developing novel series b technology for the Food & Ag sector.,https://www.mycovolt.com,https://techcrunch.com/2025/01/15/mycovolt-raises-85m/
2024-08-31,TerraDAO,3000000,Seed,Lowercarbon Capital|Khosla Ventures,Industrial Decarbonization,Germany,Munich,Developing novel seed technology for the Food & Ag sector.,https://www.terradao.com,https://techcrunch.com/2025/01/15/terradao-raises-3m/
2025-05-21,AtmoScale,144000,Grant,Congruent Ventures|Lowercarbon Capital,Food & Ag,Germany,Munich,Developing novel grant technology for the Industrial Decarbonization sector.,https://www.atmoscale.com,https://techcrunch.com/2025/01/15/atmoscale-raises-0m/
2025-02-15,AuraScale,14000000,Series A,Congruent Ventures|Khosla Ventures|Breakthrough Energy Ventures,Climate Adaptation,Germany,Berlin,Developing novel series a technology for the Mobility sector.,https://www.aurascale.com,https://techcrunch.com/2025/01/15/aurascale-raises-14m/
2024-12-10,HelioCycle,428000,Grant,Lowercarbon Capital|Khosla Ventures|a16z,Energy,UK,London,Developing novel grant technology for the Mobility sector.,https://www.heliocycle.com,https://techcrunch.com/2025/01/15/heliocycle-raises-0m/
2024-08-29,TerraVolt,22000000,Series A,Lowercarbon Capital|Congruent Ventures,Carbon Tech,UK,London,Developing novel series a technology for the Energy sector.,https://www.terravolt.com,https://techcrunch.com/2025/01/15/terravolt-raises-22m/
2025-03-03,AtmoDAO,1000000,Seed,Khosla Ventures,Carbon Tech,Germany,Berlin,Developing novel seed technology for the Food & Ag sector.,https://www.atmodao.com,https://techcrunch.com/2025/01/15/atmodao-raises-1m/
2025-06-12,GridScale,10000000,Series A,a16z|Congruent Ventures,Industrial Decarbonization,UK,London,Developing novel series a technology for the Mobility sector.,https://www.gridscale.com,https://techcrunch.com/2025/01/15/gridscale-raises-10m/
